name,speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult5,1.0,4,175.2,226.2218419095716,0,2010.9739496611332,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,3304.9070032566474,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,14343.109150994042,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1883.1218699165765,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6946.136293307116,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,0,16460.965937073794,224,0.0
older_adult1,1.0,4,183.6,203.81784083881155,0,1773.571223398317,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,3866.489351471554,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,14049.818557289536,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,1734.380615922537,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,3365.158993075105,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12666.496925378733,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1883.2257703617124,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,5709.631801857775,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2071.60325777996,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4227.065691941046,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13343.086971236475,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2101.473087213737,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2174.567906303543,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12868.102101937035,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1679.4105107905352,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6897.167625506347,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2071.60325777996,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4227.065691941046,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13343.086971236475,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2101.473087213737,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2174.567906303543,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12868.102101937035,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1679.4105107905352,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6897.167625506347,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,0,18134.199626921007,224,0.0
older_adult1,1.0,4,183.6,203.81784083881155,0,1958.5208753422503,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4432.311751983614,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,1,12223.009120564288,168,106.63764441166484
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,1986.428428028485,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2837.8307428851303,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,13367.117387351649,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1784.715423097457,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,5983.23908207129,84,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4651.097934390283,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,5340.750749418654,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,1746.2815801959225,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,4820.5460132088265,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,0,12056.099429143605,168,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4675.159249223547,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,4900.466379830378,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,2167.704110190442,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,3980.8015117909817,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,0,13556.882967020436,168,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4747.748932901988,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,5542.646299683374,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,1991.897796364735,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,4801.7774305789135,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,1,12223.009120564288,168,106.63764441166484
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2164.2253693341427,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4210.383314087316,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13805.240529105553,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2106.978136344081,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2116.0003975215845,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,13160.18154460955,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,2162.4512341014984,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6382.386809520504,84,0.0
