name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12698.425113443825,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10883.223983233896,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,19624.895902622935,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21445.1099210515,252,224.05523418305702
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13874.64229057228,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12181.774383733416,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10071.082022775006,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.4105851469423
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13091.107082260363,168,0.0
