name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14389.380253531004,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10443.364868760418,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,19325.867488036878,252,134.6761577279464
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.4105851469423
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13368.72366567078,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12174.947429940526,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,8347.08107851552,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12869.82750892344,168,0.0
