name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13431.61698460206,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10648.77204848152,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287746
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14291.063034950917,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9757.486001697946,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20720.59849539569,252,143.94786040716184
older_adult3,1.46,36.0,1576.8,1073.2006731506199,0,20783.702261857135,252,0.0
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,11717.26938734221,168,0.0
