name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13165.212085434076,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9183.815121068405,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13002.912094389529,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14072.131093793425,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10606.68162450037,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,0,20085.342197898266,252,0.0
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12917.99954027072,168,0.0
