name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14227.210457614103,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11161.057899830208,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,3,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13466.608606269292,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13061.133759889337,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11168.457237044624,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,3,19537.557822402898,252,183.5126878684405
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13742.982506633965,168,0.0
