name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13335.390965446419,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10533.507679346942,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.4105851469423
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,14063.513449330916,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13785.746420125724,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11251.28765722632,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12554.718311415663,168,0.0
