name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11949.229265576765,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9810.12902096482,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,14121.394334778834,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13385.529037633201,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10673.947957477383,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21445.1099210515,252,224.055234183057
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12806.555632448686,168,0.0
