name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13418.945361017963,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10296.066216942007,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,19504.14916492102,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075487
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13785.929434004302,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14076.43300633821,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10406.649483674348,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,18874.324630949857,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,19999.322968956705,252,124.4105851469423
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13879.278768049946,168,0.0
