name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13968.099392907796,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10325.150231801541,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,20649.349206900097,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.8202843207549
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,14107.569552615767,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11589.661388435052,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,8799.829551462548,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.4105851469423
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12784.208137508656,168,0.0
