name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12328.378934298504,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10274.067919597677,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21098.110822544837,252,117.36617440271316
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,14241.959763425204,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11894.935092910997,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9908.13634518663,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,3,20412.404955269503,252,152.88048487154649
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13171.930141759172,168,0.0
