name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11763.04733951464,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10685.459237831834,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13656.119696800006,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13924.836331119033,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10645.414930771727,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12783.46843793282,168,0.0
