name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13184.5977253325,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9539.117651310375,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,19335.045364889786,252,134.39577617879306
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694228
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12861.535634635495,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12014.947804401167,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10669.02176512916,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21032.0279347387,252,195.58533445845282
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13732.732062298213,168,0.0
