name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13511.902595213875,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10331.931735883149,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20927.943391591452,252,146.15618729199915
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,11686.171186555135,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13940.735652649957,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10991.08912752543,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20918.76551473855,252,146.43656884115248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20482.769852626163,252,117.70220355245415
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13431.604050449449,168,0.0
