name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11687.171959802648,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9606.229584188433,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287746
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13527.69348330939,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14285.891194140786,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10643.258719321631,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,22331.852275803172,252,155.14750842206126
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13603.116170483952,168,0.0
