name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14164.275399062255,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10590.529700444025,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,20968.611103380892,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20205.863962113104,252,138.6455350092444
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13159.853903625857,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12512.093332416744,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10715.897279791965,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,19920.83868916661,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20825.4869415823,252,181.35038459615072
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12752.675928042347,168,0.0
