name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12676.052784416494,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10357.299055005606,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,11334.021228542842,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13917.005297694817,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10445.64670884249,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13572.845396392146,168,0.0
