name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13862.046223620951,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10950.308974196796,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13296.201570196217,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,11791.148408874385,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11253.204055156126,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,22106.151625901595,252,153.49994463553062
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20412.404955269503,252,152.8804848715465
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12936.2652961139,168,0.0
