name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12365.516512661647,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10809.712600879264,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287746
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.8202843207549
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14378.733908803617,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10113.575719459956,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287746
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21445.1099210515,252,224.05523418305702
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
