name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12888.569511990278,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10780.171749686808,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20937.12126844436,252,145.8758057428458
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13502.15015288466,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12827.500097401937,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10453.234815917018,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21445.1099210515,252,224.05523418305697
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13934.361380303648,168,0.0
