name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14069.425716273385,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9630.990574483973,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,0,21729.147232010182,252,0.0
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20825.4869415823,252,181.35038459615072
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13034.8997376204,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12302.363332003566,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10952.23189130713,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371305
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
