name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13843.500043700955,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,9249.32751917371,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,20618.945948425902,252,167.11543473384862
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13702.548050366664,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14285.154889148496,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10901.429060088938,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287746
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
