name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13035.226627070884,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10017.814768776278,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13027.885212266876,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,14119.950034471429,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11164.953354566725,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,20946.299145297267,252,145.59542419369248
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21445.1099210515,252,224.055234183057
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,13104.23495479492,168,0.0
